year	period	no.ice	doy	enso	co2	sunspots	air.t.as	aod	reff
1760	1	0	-31	-0.22	276.2998	62.9	15.075	0.005	0.2
1761	1	0	-36	0.816	276.3374	85.9	14.136	0.001	0.2
1762	1	0	-19	1.04	276.3872	61.2	14.815	0.024	0.29
1763	1	NA	NA	-1.792	276.4499	45.1	14.954	0.007	0.2
1764	1	NA	NA	0.373	276.5257	36.4	15.113	0.002	0.2
1765	1	NA	NA	-1.274	276.6119	20.9	14.275	0	0.2
1766	1	NA	NA	1.483	276.7051	11.4	15.122	0	0.2
1767	1	NA	NA	0.025	276.8019	37.8	14.443	0	0.2
1768	1	0	-13	-0.067	276.8988	69.8	14.768	0	0.2
1769	1	0	-22	0.134	276.9924	106.1	14.843	0	0.2
1770	1	1	NA	-0.483	277.0793	100.8	14.75	0	0.2
1771	1	NA	NA	2.232	277.1562	81.6	15.075	0	0.2
1772	1	NA	NA	-0.842	277.2195	66.5	14.713	0.006	0.2
1773	1	NA	NA	-1.918	277.2659	34.8	14.685	0.002	0.2
1774	1	0	-33	-0.136	277.2919	30.6	14.015	0	0.2
1775	1	0	-3	1.108	277.2966	7	15.475	0	0.2
1776	1	NA	NA	0.503	277.2886	19.8	14.313	0	0.2
1777	1	NA	NA	-0.589	277.2789	92.5	14.806	0	0.2
1778	1	NA	NA	-0.349	277.2786	154.4	14.154	0.005	0.2
1779	1	NA	NA	0.694	277.2987	125.9	15.15	0.006	0.2
1780	1	NA	NA	-0.392	277.3503	84.8	15.029	0.001	0.2
1781	1	NA	NA	0.108	277.4445	68.1	14.787	0	0.2
1782	1	NA	NA	-1.976	277.5891	38.5	14.815	0	0.2
1783	1	NA	NA	0.991	277.7801	22.8	13.996	0.009	0.21
1784	1	NA	NA	2.631	278.01	10.2	14.889	0.042	0.35
1785	1	NA	NA	-1.099	278.2717	24.1	13.959	0.01	0.22
1786	1	NA	NA	-1.456	278.5577	82.9	14.768	0.002	0.2
1787	1	NA	NA	1.536	278.8608	132	15.075	0	0.2
1788	1	0	-30	0.147	279.1737	130.9	14.917	0.011	0.22
1789	1	0	-21	-1.916	279.489	118.1	14.368	0.003	0.2
1790	1	0	-32	-1.054	279.7996	89.9	14.787	0.001	0.2
1791	1	NA	NA	0.434	280.098	66.6	14.266	0	0.2
1792	1	0	-34	1.707	280.377	60	14.675	0	0.2
1793	1	1	NA	1.836	280.6293	46.9	14.964	0	0.2
1794	1	0	-6	-1.149	280.8476	41	15.252	0	0.2
1795	1	NA	NA	-0.697	281.0276	21.3	14.368	0	0.2
1796	1	0	-29	0.23	281.1777	16	14.945	0.018	0.26
1797	1	0	-25	0.645	281.3089	6.4	14.48	0.006	0.2
1798	1	0	-21	-1.868	281.4327	4.1	14.527	0.001	0.2
1799	1	1	NA	1.329	281.5602	6.8	15.029	0	0.2
1800	1	0	-25	-0.011	281.7028	14.5	14.703	0	0.2
1801	1	NA	NA	-1.139	281.8689	34	14.722	0.012	0.23
1802	1	NA	NA	0.489	282.0555	45	14.517	0.004	0.2
1803	1	0	-14	0.483	282.2566	43.1	13.234	0.001	0.2
1804	1	1	NA	1.152	282.4664	47.5	14.768	0.018	0.27
1805	1	0	3	-1.165	282.679	42.2	14.992	0.006	0.2
1806	1	0	-26	-0.615	282.8884	28.1	15.15	0.001	0.2
1807	1	0	-20	0.9	283.0889	10.1	14.731	0	0.2
1808	1	0	-24	-0.908	283.2745	8.1	14.127	0	0.2
1809	1	0	-35	-0.506	283.4394	2.5	14.545	0.198	0.59
1810	1	0	-27	0.591	283.5776	0	15.066	0.18	0.57
1811	1	0	-27	1.109	283.6832	1.4	14.61	0.067	0.41
1812	1	0	-36	-0.611	283.7504	5	15.01	0.025	0.29
1813	1	0	-18	-1.4	283.7733	12.2	15.038	0.009	0.21
1814	1	NA	NA	0.009	283.746	13.9	14.071	0	0.2
1815	1	0	-31	0.6	283.6652	35.4	14.452	0.199	0.59
1816	1	0	-10	2.362	283.5382	45.8	14.322	0.364	0.72
1817	1	0	-16	0.644	283.3749	41	14.992	0.194	0.58
1818	1	NA	NA	-1.222	283.1851	30.1	15.159	0.073	0.42
1819	1	0	-15	-0.863	282.9788	23.9	14.954	0.027	0.3
1820	1	0	-25	-1.245	282.7659	15.6	14.768	0.003	0.2
1821	1	0	-21	1.978	282.5561	6.6	14.052	0	0.2
1822	1	0	-9	-1.175	282.3595	4	14.815	0	0.2
1823	1	NA	NA	-0.861	282.1858	1.8	15.029	0	0.2
1824	1	NA	NA	-0.951	282.0451	8.5	15.048	0	0.2
1825	1	NA	NA	1.336	281.947	16.6	14.396	0	0.2
1826	1	NA	NA	0.277	281.9017	36.3	15.029	0	0.2
1827	1	NA	NA	0.186	281.916	49.6	14.294	0	0.2
1828	1	0	-23	1.441	281.9856	64.2	14.936	0	0.2
1829	1	0	-15	-0.912	282.1033	67	14.954	0	0.2
1830	1	0	-18	-0.019	282.2618	70.9	14.387	0	0.2
1831	1	0	-22	-1.445	282.4538	47.8	14.713	0.01	0.22
1832	1	NA	NA	0.311	282.6721	27.5	13.801	0.098	0.47
1833	1	0	7	1.8	282.9095	8.5	14.145	0.048	0.37
1834	1	0	-18	-0.613	283.1587	13.2	14.582	0.018	0.26
1835	1	0	-26	-0.334	283.4125	56.9	14.396	0.127	0.51
1836	1	0	-20	-0.5	283.665	121.5	15.085	0.116	0.49
1837	1	0	6	0.172	283.9157	138.3	14.154	0.042	0.35
1838	1	0	-3	0.182	284.1656	103.2	13.838	0.015	0.25
1839	1	0	-18	1.375	284.4154	85.7	14.778	0.006	0.2
1840	1	0	-7	1.014	284.6643	64.6	14.889	0.004	0.2
1841	1	0	-24	-1.515	284.9116	36.7	13.643	0.001	0.2
1842	2	1	NA	-1.912	285.1562	24.2	14.964	0	0.2
1843	2	0	-14	0.085	285.3973	10.7	14.573	0.004	0.2
1844	2	1	NA	1.911	285.6338	15	14.145	0.001	0.2
1845	2	0	-34	-0.213	285.8691	40.1	13.987	0	0.2
1846	2	0	-21	0.212	286.1226	61.5	15.252	0.006	0.2
1847	2	NA	NA	-1.947	286.4088	98.5	14.415	0.002	0.2
1848	2	NA	NA	-0.494	286.7047	124.7	14.554	0	0.2
1849	2	NA	NA	1.743	286.9777	96.1	14.21	0	0.2
1850	2	0	5	1.373	287.1989	66.5	14.117	0	0.2
1851	2	NA	NA	-2.192	287.353	64.2	14.192	0	0.2
1852	2	0	2	0.084	287.4281	54.1	14.489	0	0.2
1853	2	1	NA	1.535	287.4179	39	14.657	0	0.2
1854	2	0	6	0.508	287.3384	20.5	14.043	0.009	0.21
1855	2	0	-19	-1.242	287.2094	6.7	15.057	0.004	0.2
1856	2	NA	NA	-0.072	287.0445	4.3	14.787	0.001	0.2
1857	2	0	8	-1.196	286.8554	22.8	14.015	0	0.2
1858	2	0	-8	1.913	286.6542	55	15.187	0	0.2
1859	2	NA	NA	-0.208	286.4526	93.9	14.424	0	0.2
1860	2	0	-1	-0.034	286.2628	95.9	14.629	0.003	0.2
1861	2	NA	NA	-0.461	286.0976	77.2	14.387	0.002	0.2
1862	2	0	-10	1.299	285.9705	59	14.629	0.054	0.38
1863	2	0	-14	-1.555	285.8945	44	15.048	0.033	0.33
1864	2	NA	NA	-1.832	285.8829	47	15.15	0.012	0.23
1865	2	1	NA	0.022	285.9467	30.4	15.168	0.005	0.2
1866	2	1	NA	1.395	286.0875	16.2	13.41	0.001	0.2
1867	2	1	NA	0.398	286.3049	7.3	14.471	0	0.2
